year,crd_daly_rate
1990,2212.4564575836566
1991,2194.224712651303
1992,2176.759277705021
1993,2158.897741202029
1994,2137.860682259029
1995,2117.8216601914687
1996,2098.603700038781
1997,2082.053780952703
1998,2079.662461871595
1999,2087.1313120098
2000,2119.9456393573573
2001,2135.6642209680545
2002,2135.250642929396
2003,2132.8805394052715
2004,2115.772618734161
2005,2026.03954563484
2006,1875.333375603967
2007,1766.3755364110648
2008,1677.837574316329
2009,1591.0456656980512
2010,1499.4010351658596
2011,1405.8903494082294
2012,1314.9502658511533
2013,1239.510106267608
2014,1175.2318653161792
2015,1122.0450932129506
2016,1088.2587371851885
2017,1053.947622251615
2018,1014.4746250446282
2019,976.469126253072
2020,904.198108756008
2021,917.4816300091828
2022,964.3075429266428
2023,954.4716919506856
