year,household_pm
1990,282.87988435
1991,278.8669491
1992,273.9922967
1993,268.05864295
1994,261.13534
1995,253.24506005
1996,244.85884645
1997,236.56198505
1998,228.99638255000002
1999,221.4372464
2000,213.50761195
2001,205.2618509
2002,196.44942709999998
2003,187.15079020000002
2004,176.98713455
2005,165.76795744999998
2006,153.5537215
2007,140.56487875
2008,128.55802169999998
2009,117.06799634000001
2010,105.40485154000001
2011,94.67007748500001
2012,85.010182265
2013,76.38434694
2014,68.753777165
2015,61.97873771
2016,55.96745789
2017,50.536051895
2018,45.774562149999994
2019,41.553789025
2020,38.174159089999996
2021,34.60912595
2022,31.614996625000003
2023,28.83763819
