year,factor,sex,value,lower,upper
1990,Ageing,Both,5.34515741412924,,
1991,Ageing,Both,5.45270392331688,,
1992,Ageing,Both,5.57661794733089,,
1993,Ageing,Both,5.72652985467844,,
1994,Ageing,Both,5.88533298268521,,
1995,Ageing,Both,6.05307366965255,,
1996,Ageing,Both,6.22504804870163,,
1997,Ageing,Both,6.4010690329891,,
1998,Ageing,Both,6.60294649523664,,
1999,Ageing,Both,6.8145142714138,,
2000,Ageing,Both,7.01747574076251,,
2001,Ageing,Both,7.21351682273765,,
2002,Ageing,Both,7.40162875834336,,
2003,Ageing,Both,7.57962663220469,,
2004,Ageing,Both,7.73725110121901,,
2005,Ageing,Both,7.88962840533466,,
2006,Ageing,Both,8.05386346846253,,
2007,Ageing,Both,8.21258625792709,,
2008,Ageing,Both,8.35535290441098,,
2009,Ageing,Both,8.49817888668038,,
2010,Ageing,Both,8.66147143784386,,
2011,Ageing,Both,8.85916872860311,,
2012,Ageing,Both,9.08920186808881,,
2013,Ageing,Both,9.3562686156071,,
2014,Ageing,Both,9.6661987378912,,
2015,Ageing,Both,10.053420914992,,
2016,Ageing,Both,10.4907994645602,,
2017,Ageing,Both,10.9809606634325,,
2018,Ageing,Both,11.5162092042497,,
2019,Ageing,Both,12.0613659717192,,
2020,Ageing,Both,12.6452376078587,,
2021,Ageing,Both,13.2057410345267,,
2022,Ageing,Both,13.781930345649,,
2023,Ageing,Both,14.3160774690688,,
1990,Government health expenditure,Both,,,
1991,Government health expenditure,Both,,,
1992,Government health expenditure,Both,,,
1993,Government health expenditure,Both,,,
1994,Government health expenditure,Both,,,
1995,Government health expenditure,Both,,,
1996,Government health expenditure,Both,,,
1997,Government health expenditure,Both,,,
1998,Government health expenditure,Both,,,
1999,Government health expenditure,Both,,,
2000,Government health expenditure,Both,0.97868848,,
2001,Government health expenditure,Both,0.96197265,,
2002,Government health expenditure,Both,1.09706461,,
2003,Government health expenditure,Both,1.23556411,,
2004,Government health expenditure,Both,1.27916729,,
2005,Government health expenditure,Both,1.34709895,,
2006,Government health expenditure,Both,1.36572993,,
2007,Government health expenditure,Both,1.41172099,,
2008,Government health expenditure,Both,1.70800281,,
2009,Government health expenditure,Both,2.1124301,,
2010,Government health expenditure,Both,2.15837073,,
2011,Government health expenditure,Both,2.29242587,,
2012,Government health expenditure,Both,2.50277305,,
2013,Government health expenditure,Both,2.64646387,,
2014,Government health expenditure,Both,2.74482822,,
2015,Government health expenditure,Both,2.92099118,,
2016,Government health expenditure,Both,2.83731437,,
2017,Government health expenditure,Both,2.81638408,,
2018,Government health expenditure,Both,2.85993624,,
2019,Government health expenditure,Both,2.94739079,,
2020,Government health expenditure,Both,3.01223373,,
2021,Government health expenditure,Both,2.8417747,,
2022,Government health expenditure,Both,3.39281297,,
2023,Government health expenditure,Both,3.39381886,,
1990,Household air pollution,Both,282.87988435,226.2603725,351.06144225
1990,Household air pollution,Female,344.1776749,288.2010064,411.7636172
1990,Household air pollution,Male,221.5820938,164.3197386,290.3592673
1991,Household air pollution,Both,278.8669491,222.71766035,346.42505530000005
1991,Household air pollution,Female,339.2954524,283.8660576,406.838021
1991,Household air pollution,Male,218.4384458,161.5692631,286.0120896
1992,Household air pollution,Both,273.9922967,218.6374621,340.0773884
1992,Household air pollution,Female,333.3648559,278.4344241,400.1409468
1992,Household air pollution,Male,214.6197375,158.8405001,280.01383
1993,Household air pollution,Both,268.05864295,212.6746491,334.7856037
1993,Household air pollution,Female,326.1458715,270.6341549,393.1034853
1993,Household air pollution,Male,209.9714144,154.7151433,276.4677221
1994,Household air pollution,Both,261.13534,205.9982372,326.96785785
1994,Household air pollution,Female,317.7228819,261.9201394,384.6705202
1994,Household air pollution,Male,204.5477981,150.076335,269.2651955
1995,Household air pollution,Both,253.24506005,198.1630113,318.69876880000004
1995,Household air pollution,Female,308.1234784,251.4667807,374.3462779
1995,Household air pollution,Male,198.3666417,144.8592419,263.0512597
1996,Household air pollution,Both,244.85884645,189.8723015,310.96162879999997
1996,Household air pollution,Female,297.9207441,240.9314894,365.4912325
1996,Household air pollution,Male,191.7969488,138.8131136,256.4320251
1997,Household air pollution,Both,236.56198505,182.1134199,302.80642795
1997,Household air pollution,Female,287.8267435,230.5490621,356.8853572
1997,Household air pollution,Male,185.2972266,133.6777777,248.7274987
1998,Household air pollution,Both,228.99638255000002,173.84984880000002,296.8984281
1998,Household air pollution,Female,278.6224187,219.70398,350.0269278
1998,Household air pollution,Male,179.3703464,127.9957176,243.7699284
1999,Household air pollution,Both,221.4372464,166.30578125,290.0220682
1999,Household air pollution,Female,269.4259815,209.8261632,342.3222158
1999,Household air pollution,Male,173.4485113,122.7853993,237.7219206
2000,Household air pollution,Both,213.50761195,158.4696544,282.7848094
2000,Household air pollution,Female,259.7788176,199.5075375,334.3451128
2000,Household air pollution,Male,167.2364063,117.4317713,231.224506
2001,Household air pollution,Both,205.2618509,149.99133080000001,276.1539117
2001,Household air pollution,Female,249.7470769,188.2941712,326.4078419
2001,Household air pollution,Male,160.7766249,111.6884904,225.8999815
2002,Household air pollution,Both,196.44942709999998,139.696112,267.8608665
2002,Household air pollution,Female,239.0259601,175.3395002,317.2549807
2002,Household air pollution,Male,153.8728941,104.0527238,218.4667523
2003,Household air pollution,Both,187.15079020000002,129.79538020500001,258.54255485
2003,Household air pollution,Female,227.7133432,163.3731328,306.5696794
2003,Household air pollution,Male,146.5882372,96.21762761,210.5154303
2004,Household air pollution,Both,176.98713455,119.391631955,249.20498880000002
2004,Household air pollution,Female,215.3483763,150.566479,296.5015677
2004,Household air pollution,Male,138.6258928,88.21678491,201.9084099
2005,Household air pollution,Both,165.76795744999998,108.462235075,239.33325165
2005,Household air pollution,Female,201.6992856,136.6982453,285.1777825
2005,Household air pollution,Male,129.8366293,80.22622485,193.4887208
2006,Household air pollution,Both,153.5537215,97.035717865,228.76925845
2006,Household air pollution,Female,186.839483,122.3249247,273.828873
2006,Household air pollution,Male,120.26796,71.74651103,183.7096439
2007,Household air pollution,Both,140.56487875,84.54303771,216.00831195
2007,Household air pollution,Female,171.0370618,106.0716304,259.3169355
2007,Household air pollution,Male,110.0926957,63.01444502,172.6996884
