path,variable,selected_in_folds,selection_rate
elastic_net,d_household_pm_lag1,28,1.0
elastic_net,d_household_pm_lag2,28,1.0
elastic_net,trend,28,1.0
elastic_net,d_gov_health_exp_pct_gdp_lag2,21,0.75
elastic_net,d_pm25_lag2,21,0.75
elastic_net,d_pm25_lag0,20,0.7142857142857143
elastic_net,d_pm25_lag1,20,0.7142857142857143
elastic_net,d_gov_health_exp_pct_gdp_lag0,17,0.6071428571428571
elastic_net,d_gov_health_exp_pct_gdp_lag1,17,0.6071428571428571
elastic_net,d_ageing_65_plus_lag1,9,0.32142857142857145
backward_elimination,d_household_pm_lag1,28,1.0
backward_elimination,d_household_pm_lag2,28,1.0
backward_elimination,trend,28,1.0
backward_elimination,d_ageing_65_plus_lag1,27,0.9642857142857143
backward_elimination,d_gov_health_exp_pct_gdp_lag2,1,0.03571428571428571
random_forest,d_ageing_65_plus_lag1,28,1.0
random_forest,d_household_pm_lag1,28,1.0
random_forest,d_household_pm_lag2,28,1.0
random_forest,trend,28,1.0
random_forest,d_pm25_lag0,27,0.9642857142857143
random_forest,d_pm25_lag1,1,0.03571428571428571
vif_filtering,d_gov_health_exp_pct_gdp_lag0,28,1.0
vif_filtering,d_gov_health_exp_pct_gdp_lag1,28,1.0
vif_filtering,d_gov_health_exp_pct_gdp_lag2,28,1.0
vif_filtering,d_pm25_lag0,28,1.0
vif_filtering,d_pm25_lag1,28,1.0
vif_filtering,d_pm25_lag2,28,1.0
vif_filtering,trend,28,1.0
vif_filtering,d_household_pm_lag1,27,0.9642857142857143
vif_filtering,d_household_pm_lag2,1,0.03571428571428571
