variable,regression,adf_statistic,p_value,used_lag,n_obs,critical_1pct,critical_5pct,critical_10pct
d_crd_daly_rate,c,-1.7336202204107074,0.41387884133430475,3,24,-3.7377092158564813,-2.9922162731481485,-2.635746736111111
d_pm25_lag0,c,-4.06777033615135,0.0010943957666958023,0,27,-3.6996079738860943,-2.9764303469999494,-2.627601001371742
d_ozone_lag0,c,1.7692647556136598,0.9982860703944788,8,19,-3.8326031418574136,-3.0312271701414204,-2.655519584487535
d_household_pm_lag0,c,-0.8138644788730559,0.8150155193563717,1,26,-3.7112123008648155,-2.981246804733728,-2.6300945562130176
d_ageing_65_plus_lag0,c,0.28960693460578896,0.9768626019584634,1,26,-3.7112123008648155,-2.981246804733728,-2.6300945562130176
d_gov_health_exp_pct_gdp_lag0,c,-4.014732153640755,0.0013353038845752298,0,27,-3.6996079738860943,-2.9764303469999494,-2.627601001371742
d_pm25_lag1,c,-4.34403910403062,0.00037235446567600826,0,27,-3.6996079738860943,-2.9764303469999494,-2.627601001371742
d_pm25_lag2,c,-4.062036294944156,0.0011183327813115776,0,27,-3.6996079738860943,-2.9764303469999494,-2.627601001371742
d_ozone_lag1,c,2.3780408880466597,0.998999598120564,8,19,-3.8326031418574136,-3.0312271701414204,-2.655519584487535
d_ozone_lag2,c,2.544694838290379,0.9990628601386872,9,18,-3.859073285322359,-3.0420456927297668,-2.6609064197530863
d_household_pm_lag1,c,-1.1695867048245319,0.6865400490202005,9,18,-3.859073285322359,-3.0420456927297668,-2.6609064197530863
d_household_pm_lag2,c,-2.6913773189984607,0.07554229176331546,9,18,-3.859073285322359,-3.0420456927297668,-2.6609064197530863
d_ageing_65_plus_lag1,c,-2.0945223078081288,0.24672290621726578,4,23,-3.7529275211638033,-2.998499866852963,-2.6389669754253307
d_ageing_65_plus_lag2,c,0.16608737273022497,0.9702940947124212,1,26,-3.7112123008648155,-2.981246804733728,-2.6300945562130176
d_gov_health_exp_pct_gdp_lag1,c,-4.186975545864225,0.000693159690597147,0,27,-3.6996079738860943,-2.9764303469999494,-2.627601001371742
d_gov_health_exp_pct_gdp_lag2,c,-4.011427818255181,0.001351839904515198,0,27,-3.6996079738860943,-2.9764303469999494,-2.627601001371742
